time,equity,cash,positions
2026-09-25 21:20,497.75,50.0,2
2026-09-25 21:26,493.69,50.0,2
2026-09-25 21:29,495.98,50.0,2
2026-09-25 21:33,492.47,50.0,2
2026-09-25 21:50,493.05,50.0,2
2026-09-25 21:54,493.08,50.0,2
2026-09-25 21:56,492.83,50.0,2
2026-09-25 22:01,492.9,50.0,2
2026-09-25 22:06,497.19,50.0,2
2026-09-25 22:10,498.09,50.0,2
2026-09-25 22:15,499.4,50.0,2
2026-09-25 22:26,501.61,50.0,2
2026-09-25 22:29,500.74,50.0,2
2026-09-25 22:39,501.4,50.0,2
2026-09-25 23:03,500.38,50.0,2
2026-09-25 23:10,504.36,50.0,2
2026-09-25 23:29,503.13,50.0,2
2026-09-25 23:40,504.03,50.0,2
2026-09-25 23:44,504.39,50.0,2
2026-09-26 00:05,500.25,50.0,2
2026-09-26 01:05,497.32,50.0,2
2026-09-26 02:05,495.13,50.0,2
2026-09-26 02:29,495.66,50.0,2
2026-09-26 02:35,495.81,50.0,2
2026-09-26 02:39,495.86,50.0,2
2026-09-26 02:43,495.9,50.0,2
2026-09-26 02:49,495.96,50.0,2
2026-09-26 03:05,494.84,50.0,2
2026-09-26 03:41,494.71,50.0,2
2026-09-26 03:49,493.2,50.0,2
2026-09-26 03:57,493.0,50.0,2
2026-09-26 04:07,494.37,50.0,2
2026-09-26 04:21,495.32,50.0,2
2026-09-26 04:52,494.59,50.0,2
2026-09-26 05:03,492.14,50.0,2
2026-09-26 05:18,491.06,50.0,2
2026-09-26 05:31,492.66,50.0,2
2026-09-26 05:46,493.99,50.0,2
2026-09-26 06:04,491.05,50.0,2
2026-09-26 07:05,492.97,50.0,2
2026-09-26 07:12,493.83,50.0,2
2026-09-26 07:17,493.98,50.0,2
2026-09-26 07:20,494.28,50.0,2
2026-09-26 07:24,493.85,50.0,2
2026-09-26 07:49,492.91,50.0,2
2026-09-26 08:06,490.17,50.0,2
2026-09-26 08:50,492.48,50.0,2
2026-09-26 09:06,490.72,50.0,2
