time,equity,cash,positions
2026-09-25 22:06,500.0,500.0,0
2026-09-25 22:10,500.0,500.0,0
2026-09-25 22:15,500.0,500.0,0
2026-09-25 22:26,500.0,500.0,0
2026-09-25 22:29,500.0,500.0,0
2026-09-25 22:39,500.0,500.0,0
2026-09-25 23:03,500.0,500.0,0
2026-09-25 23:10,500.0,500.0,0
2026-09-25 23:29,500.0,500.0,0
2026-09-25 23:40,500.0,500.0,0
2026-09-25 23:44,500.0,500.0,0
2026-09-26 00:05,500.0,500.0,0
2026-09-26 01:05,500.0,500.0,0
2026-09-26 02:05,500.0,500.0,0
2026-09-26 02:29,500.0,500.0,0
2026-09-26 02:35,497.75,50.0,1
2026-09-26 02:39,493.41,49.56,2
2026-09-26 02:43,493.47,49.56,2
2026-09-26 02:49,493.52,49.56,2
2026-09-26 03:05,492.4,49.56,2
2026-09-26 03:41,492.29,49.56,2
2026-09-26 03:49,490.78,49.56,2
2026-09-26 03:57,490.59,49.56,2
2026-09-26 04:07,491.91,49.56,2
2026-09-26 04:21,492.88,49.56,2
2026-09-26 04:52,492.2,49.56,2
2026-09-26 05:03,489.74,49.56,2
2026-09-26 05:18,488.69,49.56,2
2026-09-26 05:31,490.29,49.56,2
2026-09-26 05:46,491.63,49.56,2
2026-09-26 06:04,488.72,49.56,2
2026-09-26 07:05,490.66,49.56,2
2026-09-26 07:12,491.5,49.56,2
2026-09-26 07:17,491.66,49.56,2
2026-09-26 07:20,491.97,49.56,2
2026-09-26 07:24,491.53,49.56,2
2026-09-26 07:49,490.49,49.56,2
2026-09-26 08:06,487.78,49.56,2
2026-09-26 08:50,490.06,49.56,2
2026-09-26 09:06,488.29,49.56,2
2026-09-26 09:20,488.7,49.56,2
2026-09-26 09:25,488.56,49.56,2
2026-09-26 10:05,491.47,49.56,2
2026-09-26 11:05,494.99,49.56,2
