time,equity,cash,positions
2026-09-25 21:20,497.75,50.0,1
2026-09-25 21:26,498.23,50.0,1
2026-09-25 21:29,498.44,50.0,1
2026-09-25 21:33,498.46,50.0,1
2026-09-25 21:50,498.94,50.0,1
2026-09-25 21:54,498.79,50.0,1
2026-09-25 21:56,498.8,50.0,1
2026-09-25 22:01,498.48,50.0,1
2026-09-25 22:06,498.83,50.0,1
2026-09-25 22:10,499.05,50.0,1
2026-09-25 22:15,499.28,50.0,1
2026-09-25 22:26,499.44,50.0,1
2026-09-25 22:29,499.48,50.0,1
2026-09-25 22:39,499.96,50.0,1
2026-09-25 23:03,500.09,50.0,1
2026-09-25 23:10,500.16,50.0,1
2026-09-25 23:29,500.01,50.0,1
2026-09-25 23:40,500.09,50.0,1
2026-09-25 23:44,500.02,50.0,1
2026-09-26 00:05,500.03,50.0,1
2026-09-26 01:05,499.39,50.0,1
2026-09-26 02:05,499.71,50.0,1
2026-09-26 02:29,499.92,50.0,1
2026-09-26 02:35,499.77,50.0,1
2026-09-26 02:39,499.89,50.0,1
2026-09-26 02:43,499.74,50.0,1
2026-09-26 02:49,499.81,50.0,1
2026-09-26 03:05,499.62,50.0,1
2026-09-26 03:41,499.79,50.0,1
2026-09-26 03:49,499.4,50.0,1
