time,equity,cash,positions
2026-09-25 21:07,497.75,50.0,4
2026-09-25 21:12,498.18,50.0,4
2026-09-25 21:16,497.64,50.0,4
2026-09-25 21:20,496.45,50.0,4
2026-09-25 21:26,494.67,50.0,4
2026-09-25 21:29,496.67,50.0,4
2026-09-25 21:33,494.31,50.0,4
2026-09-25 21:50,494.68,50.0,4
2026-09-25 21:54,494.49,50.0,4
2026-09-25 21:56,494.37,50.0,4
2026-09-25 22:01,494.37,50.0,4
2026-09-25 22:06,497.52,50.0,4
2026-09-25 22:10,498.48,50.0,4
2026-09-25 22:15,500.01,50.0,4
2026-09-25 22:26,502.18,50.0,4
2026-09-25 22:29,501.62,50.0,4
2026-09-25 22:39,504.35,50.0,4
2026-09-25 23:03,502.66,50.0,4
2026-09-25 23:10,504.09,50.0,4
2026-09-25 23:29,504.01,50.0,4
2026-09-25 23:40,504.2,50.0,4
2026-09-25 23:44,504.45,50.0,4
2026-09-26 00:05,502.52,50.0,4
2026-09-26 01:05,501.48,50.0,4
2026-09-26 02:05,502.35,50.0,4
2026-09-26 02:29,504.32,50.0,4
2026-09-26 02:35,504.94,50.0,4
2026-09-26 02:39,504.54,50.0,4
2026-09-26 02:43,504.01,50.0,4
2026-09-26 02:49,504.0,50.0,4
2026-09-26 03:05,501.98,50.0,4
2026-09-26 03:41,499.67,50.0,4
2026-09-26 03:49,498.66,50.0,4
2026-09-26 03:57,497.88,50.0,4
2026-09-26 04:07,498.89,50.0,4
2026-09-26 04:21,499.53,50.0,4
2026-09-26 04:52,499.49,50.0,4
2026-09-26 05:03,498.68,50.0,4
2026-09-26 05:18,497.17,50.0,4
2026-09-26 05:31,497.89,50.0,4
2026-09-26 05:46,499.43,50.0,4
2026-09-26 06:04,496.95,50.0,4
2026-09-26 07:05,499.61,50.0,4
2026-09-26 07:12,500.34,50.0,4
2026-09-26 07:17,500.42,50.0,4
2026-09-26 07:20,500.91,50.0,4
2026-09-26 07:24,501.37,50.0,4
2026-09-26 07:49,501.92,50.0,4
2026-09-26 08:06,499.54,50.0,4
2026-09-26 08:50,501.34,50.0,4
2026-09-26 09:06,500.4,50.0,4
2026-09-26 09:20,498.71,50.0,4
2026-09-26 09:25,499.22,50.0,4
2026-09-26 10:05,502.75,50.0,4
2026-09-26 11:05,504.43,50.0,4
2026-09-26 11:20,505.58,50.0,4
