time,equity,cash,positions
2026-09-25 22:39,500.0,500.0,0
2026-09-25 23:03,500.0,500.0,0
2026-09-25 23:10,498.63,320.0,2
2026-09-25 23:29,498.35,230.26,3
2026-09-25 23:40,497.67,230.26,3
2026-09-25 23:44,497.74,230.26,3
2026-09-26 00:05,497.36,230.26,3
2026-09-26 01:05,495.55,230.26,3
2026-09-26 02:05,495.59,141.06,4
2026-09-26 02:29,495.28,51.76,5
2026-09-26 02:35,494.79,51.76,5
2026-09-26 02:39,494.52,51.76,5
2026-09-26 02:43,493.94,51.76,5
2026-09-26 02:49,493.87,51.76,5
2026-09-26 03:05,492.67,51.76,5
2026-09-26 03:41,491.55,51.76,5
2026-09-26 03:49,490.73,51.76,5
2026-09-26 03:57,490.13,51.76,5
2026-09-26 04:07,491.39,51.76,5
2026-09-26 04:21,492.38,51.76,5
2026-09-26 04:52,491.3,51.76,5
2026-09-26 05:03,490.75,51.76,5
2026-09-26 05:18,489.43,51.76,5
2026-09-26 05:31,489.31,51.76,5
2026-09-26 05:46,490.34,51.76,5
2026-09-26 06:04,488.0,51.76,5
2026-09-26 07:05,488.44,51.76,5
2026-09-26 07:12,489.28,51.76,5
2026-09-26 07:17,489.39,51.76,5
2026-09-26 07:20,489.59,51.76,5
2026-09-26 07:24,489.48,51.76,5
2026-09-26 07:49,490.17,51.76,5
2026-09-26 08:06,489.37,51.76,5
2026-09-26 08:50,489.95,51.76,5
2026-09-26 09:06,489.23,51.76,5
2026-09-26 09:20,485.65,51.76,5
2026-09-26 09:25,486.12,51.76,5
2026-09-26 10:05,487.38,51.76,5
2026-09-26 11:05,490.63,51.76,5
2026-09-26 11:20,490.25,51.76,5
2026-09-26 12:06,490.13,51.76,5
2026-09-26 13:06,489.8,51.76,5
2026-09-26 14:06,488.56,51.76,5
2026-09-26 14:14,489.1,51.76,5
