time,equity,cash,positions
2026-09-25 23:29,500.0,500.0,0
2026-09-26 00:00,500.0,500.0,0
2026-09-26 01:00,500.0,500.0,0
2026-09-26 02:00,500.0,500.0,0
2026-09-26 03:00,500.0,500.0,0
2026-09-26 04:00,500.0,500.0,0
2026-09-26 05:03,500.0,500.0,0
2026-09-26 06:04,500.0,500.0,0
2026-09-26 07:00,500.0,500.0,0
2026-09-26 08:00,500.0,500.0,0
2026-09-26 09:00,500.0,500.0,0
2026-09-26 09:09,499.8,485.0,1
2026-09-26 09:25,498.64,399.84,1
2026-09-26 10:00,503.58,399.84,1
2026-09-26 11:00,514.8,399.84,1
2026-09-26 12:00,508.25,399.84,1
2026-09-26 13:00,518.2,399.84,1
2026-09-26 14:00,515.56,399.84,1
