
crypto: 16 symbols; cost per side 0.10%
in-sample 14.4 months, out-of-sample 9.6 months

153 variants. Top 15 by in-sample monthly return, then UNSEEN results:

  setup params                             |   IS/mo |  OOS/mo  OOS tot trades/mo   win avg/trade
 hbreak n=72 m=24 k=1.5 h=0                |   +2.1% |   +0.8%    +7.8%      77.8   20%    +0.24%
 hbreak n=48 m=24 k=4.0 h=0                |   +1.7% |   +0.1%    +0.7%      75.2   31%    +0.14%
 hbreak n=48 m=24 k=1.5 h=0                |   +1.6% |   +0.5%    +5.0%      98.5   20%    +0.15%
 hbreak n=72 m=6 k=1.5 h=72                |   +1.6% |   +0.8%    +8.2%      92.8   27%    +0.19%
 hbreak n=48 m=24 k=2.5 h=24               |   +1.5% |   +0.3%    +3.3%     112.2   36%    +0.08%
 hbreak n=48 m=12 k=4.0 h=72               |   +1.5% |   +0.2%    +2.4%      91.7   32%    +0.11%
 hbreak n=72 m=6 k=1.5 h=0                 |   +1.5% |   +0.8%    +8.3%      92.7   27%    +0.19%
 hbreak n=72 m=24 k=2.5 h=0                |   +1.5% |   +0.8%    +8.3%      65.4   27%    +0.29%
 hbreak n=72 m=24 k=1.5 h=72               |   +1.4% |   +0.4%    +3.8%      82.5   20%    +0.15%
 hbreak n=72 m=6 k=2.5 h=72                |   +1.4% |   +1.0%   +10.1%      85.1   32%    +0.23%
 hbreak n=48 m=24 k=2.5 h=0                |   +1.4% |   +0.6%    +5.6%      82.3   27%    +0.19%
 hbreak n=48 m=12 k=4.0 h=0                |   +1.4% |   +0.4%    +4.3%      89.5   32%    +0.15%
 hbreak n=48 m=24 k=4.0 h=72               |   +1.4% |   -0.6%    -5.6%      83.7   32%    +0.01%
 hbreak n=72 m=24 k=4.0 h=0                |   +1.3% |   +0.5%    +5.2%      59.4   31%    +0.28%
 hbreak n=72 m=6 k=2.5 h=0                 |   +1.3% |   +1.0%   +10.3%      85.0   32%    +0.24%

For reference, best 5 by UNSEEN result (picked with hindsight, so optimistic):
 hbreak n=72 m=12 k=2.5 h=0                | IS  +1.0%/mo | OOS  +1.0%/mo, 74 trades/mo
 hbreak n=72 m=6 k=2.5 h=0                 | IS  +1.3%/mo | OOS  +1.0%/mo, 85 trades/mo
 hbreak n=72 m=6 k=2.5 h=72                | IS  +1.4%/mo | OOS  +1.0%/mo, 85 trades/mo
 hbreak n=72 m=12 k=4.0 h=0                | IS  +0.6%/mo | OOS  +1.0%/mo, 70 trades/mo
 hbreak n=72 m=6 k=2.5 h=24                | IS  +1.0%/mo | OOS  +1.0%/mo, 93 trades/mo
